Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
39,2014/12/31,87776181000,60494066000,27282115000,3297874000
39,2015/6/30,95593491000,65362621000,30230870000,2026744000
39,2015/12/31,1.06763E+11,71268295000,35494876000,2943736000
39,2016/6/30,1.148E+11,80446229000,34353688000,-318988000
39,2016/12/31,1.24615E+11,85479956000,39134792000,800538000
39,2017/6/30,1.29499E+11,89626971000,39871883000,1524203000
39,2017/12/31,1.30604E+11,87366945000,43237434000,4171685000
39,2018/6/30,1.38268E+11,96622318000,41646041000,1828383000
40,2014/6/30,4036585574,2794306684,1242278891,12032038.77
40,2014/12/31,4269813106,3001258571,1268554535,87666901.58
40,2015/6/30,4213617288,2926290875,1287326413,36026332.03
40,2015/12/31,6768909271,5443332114,1325577157,107527806.2
40,2016/6/30,19033431519,8167862189,10865569331,113423601.8
40,2016/12/31,17287967225,6324044572,10963922653,221466296.4
40,2017/6/30,21124093290,10016672162,11107421128,177633546
40,2017/12/31,28903531697,17344066585,11559465112,570026133.2
40,2018/6/30,28286652311,15528147994,12758504317,1580506507
42,2014/6/30,12947132549,9670967526,3276165023,382212006.2
42,2014/12/31,16196337802,12895535299,3300802502,491873531.3
42,2015/6/30,20528344838,16880599940,3647744898,590655115.5
42,2015/12/31,24621393457,19005208234,5616185224,630159828.3
42,2016/6/30,29289006996,23763680648,5525326347,151162515.7
42,2016/12/31,29161608502,23300464101,5861144401,538402521.8
42,2017/6/30,35433084685,29388679244,6044405441,258589097.2
42,2017/12/31,43619885474,36736070588,6883814886,1050700044
42,2018/6/30,44323436547,36759465051,7563971496,1093958434
43,2014/6/30,20508794531,16583936413,3924858118,-14638057.99
43,2014/12/31,20068381834,15913617135,4154764699,664015665.5
43,2015/6/30,22309400041,18213113392,4096286649,-116549352.9
43,2015/12/31,22881018617,18185674471,4695344145,566059542.2
43,2016/6/30,23496182615,18878238805,4617943810,26266414.28
43,2016/12/31,21733185266,17005355957,4727829309,283230283.7
43,2017/6/30,19047274326,14531163625,4516110702,-67192831.61
43,2017/12/31,19114097655,14515533274,4598564381,301188231
43,2018/6/30,19380066990,14718444374,4661622616,202275492.1
45,2014/6/30,2796914906,532022187.5,2264892718,-14202692.41
45,2014/12/31,2822783502,626534253.6,2196249248,-83135175.41
45,2015/6/30,2811815385,637266569.6,2174548815,17372032.48
45,2015/12/31,2969394979,794825433.2,2174569546,19290072.72
45,2016/6/30,2860439753,717977486.7,2142462266,-28138046.59
45,2016/12/31,4119586266,679467284.4,3440118982,-92920287.35
45,2017/6/30,4071838673,619257284.3,3452581389,19754452.48
45,2017/12/31,4195746508,672727378,3523019130,86168385.31
45,2018/6/30,4299888118,768423587.2,3531464531,9943396.57
46,2014/6/30,44575892341,35430882594,9145009747,246407477.5
46,2014/12/31,70889108573,58374057830,12515050744,2280864358
46,2015/6/30,1.01119E+11,87736048491,13383119842,1192134857
46,2015/12/31,1.18356E+11,1.03194E+11,15162632348,3584795664
46,2016/6/30,1.38983E+11,1.17858E+11,21124441877,1482572872
46,2016/12/31,1.67836E+11,1.42942E+11,24893922180,3606295066
46,2017/6/30,1.7819E+11,1.52794E+11,25395661043,827860343
46,2017/12/31,1.87775E+11,1.60279E+11,27495882037,3758124669
46,2018/6/30,2.0302E+11,1.73649E+11,29370775938,505441582.8
48,2014/6/30,1615189986,1125420619,489769366.2,7957691.99
48,2014/12/31,1982938749,1378268058,604670690.9,153186018.4
48,2015/6/30,2087510406,1327842911,759667495.9,198281375.2
48,2015/12/31,1940801275,1138455503,802345772.5,246169418.4
48,2016/6/30,1939473456,1104174546,835298909.4,26381131.57
48,2016/12/31,1959736874,1133676716,826060157.9,-21024881.43
48,2017/6/30,2321383411,1548609370,772774041.1,-38218267.98
48,2017/12/31,3808599364,2667552973,1141046390,438805733.8
48,2018/6/30,4112194743,2905830607,1206364137,110889282.5
49,2014/6/30,2068655926,1323888720,744767205.8,146952620.7
49,2014/12/31,4675603417,3757120777,918482639.9,396805583.2
49,2015/6/30,3268527715,2232869601,1035658114,196942477.9
49,2015/12/31,3402574473,2204771244,1197803229,387841108.3
49,2016/6/30,2872841279,1573037638,1299803642,122040656.7
49,2016/12/31,5145792231,3645687160,1500105070,436386942.9
49,2017/6/30,4553865700,2936628673,1617237027,195197796
49,2017/12/31,7619067450,5803846853,1815220597,499828522.8
49,2018/6/30,6472630302,4567015979,1905614324,220395125.4
50,2014/6/30,7572507375,4215464145,3357043230,133615397
50,2014/12/31,15692498583,7131382946,8561115637,156060965
50,2015/6/30,17884669645,9188134668,8696534977,23436309
50,2015/12/31,21628692218,8380358043,13248334175,18992079
50,2016/6/30,19692208173,6192469273,13499738900,60572989
50,2016/12/31,21679336300,7920376784,13758959517,355693993.1
50,2017/6/30,24685721083,10469884120,14215836963,296482016.4
50,2017/12/31,29652260560,15177463414,14474797147,884448385.6
50,2018/6/30,59542992628,33701183759,25841808869,897326504.8
55,2014/6/30,3125590103,1892962144,1232627959,42610666.76
55,2014/12/31,3662719900,2362185272,1300534628,104525345.2
55,2015/6/30,4044758394,2723999006,1320759388,72546518.29
55,2015/12/31,4464147811,3130104727,1334043085,91990856.7
55,2016/6/30,5197762204,3889735893,1308026311,54510773.1
55,2016/12/31,6787051278,4484737928,2302313350,848594163.2
55,2017/6/30,6295862044,4043995873,2251866171,289686953.3
55,2017/12/31,7625422689,4386483486,3238939202,1424533211
55,2018/6/30,7892969370,4603324599,3289644771,286633965.2
56,2014/6/30,7916698558,4609776142,3306922416,-158123241.9
56,2014/12/31,7871959542,4946448540,2925511001,-508385672.1
56,2015/6/30,7892045420,4957855058,2934190362,-10295336.44
56,2015/12/31,7995714299,2996005847,4999708452,22783214.28
56,2016/6/30,9751988113,4701515815,5050472298,50154440.21
56,2016/12/31,10640504287,5132312418,5508191868,101616053.4
56,2017/6/30,12225013854,6601503630,5623510224,125151107.8
56,2017/12/31,14169679684,8382933527,5786746157,278506025.1
56,2018/6/30,13658922220,7824896721,5834025499,147981244.8
58,2014/6/30,2486156635,1015703280,1470453355,69347510.51
58,2014/12/31,2659717718,1164348642,1495369077,109702142.3
58,2015/6/30,2495946288,859032086.2,1636914202,71957015.01
58,2015/12/31,2614660524,934315783.5,1680344741,155388779.2
58,2016/6/30,2479696061,805001544.2,1674694516,68597396.49
58,2016/12/31,2548276265,789767713.4,1758508552,181005810
58,2017/6/30,7423262800,5043885737,2379377063,96807069.41
58,2017/12/31,6992590421,4411666524,2580923897,421700416.7
58,2018/6/30,6338357883,3797458068,2540899815,201660026.6
59,2014/6/30,29833537583,23356746689,6476790894,-752948028.9
59,2014/12/31,34597604045,25117406830,9480197215,-1532082286
59,2015/6/30,30396760167,21044609511,9352150656,247609270.9
59,2015/12/31,29920285426,20702917946,9217367480,307220411.9
59,2016/6/30,30750910124,20568991190,10181918934,1050033760
59,2016/12/31,31370608576,20286479962,11084128614,2260416642
59,2017/6/30,30471144970,18862879513,11608265457,1255982215
59,2017/12/31,30968148870,18303833677,12664315193,2594611755
59,2018/6/30,28612118841,15142560614,13469558227,1075805791
